article_id,model,strategy,is_valid,syntax_errors,precision,recall,f1_score,true_positives,false_positives,false_negatives,tp_core,fp_core,fn_core,precision_core,recall_core,f1_score_core,tp_policy_char,fp_policy_char,fn_policy_char,precision_policy_char,recall_policy_char,f1_score_policy_char,tp_compliance_char,fp_compliance_char,fn_compliance_char,precision_compliance_char,recall_compliance_char,f1_score_compliance_char,tp_actor,fp_actor,fn_actor,precision_actor,recall_actor,f1_score_actor,tp_other,fp_other,fn_other,precision_other,recall_other,f1_score_other,tp_time,fp_time,fn_time,precision_time,recall_time,f1_score_time,property_precision,property_recall,property_f1_score,property_true_positives,property_false_positives,property_false_negatives,property_diversity,class_precision,class_recall,class_f1_score,class_true_positives,class_false_positives,class_false_negatives,entity_precision,entity_recall,entity_f1_score,entity_true_positives,entity_false_positives,entity_false_negatives,ontology_consistency_score,constraint_violations,constraint_violations_by_type,ontology_conforms,ground_truth_triple_count,rel_contains_instrument_precision_contains_instrument,rel_contains_instrument_recall_contains_instrument,rel_contains_instrument_f1_score_contains_instrument,rel_contains_instrument_true_positives_contains_instrument,rel_contains_instrument_false_positives_contains_instrument,rel_contains_instrument_false_negatives_contains_instrument,rel_contains_objective_precision_contains_objective,rel_contains_objective_recall_contains_objective,rel_contains_objective_f1_score_contains_objective,rel_contains_objective_true_positives_contains_objective,rel_contains_objective_false_positives_contains_objective,rel_contains_objective_false_negatives_contains_objective,rel_contains_monitoring_form_precision_contains_monitoring_form,rel_contains_monitoring_form_recall_contains_monitoring_form,rel_contains_monitoring_form_f1_score_contains_monitoring_form,rel_contains_monitoring_form_true_positives_contains_monitoring_form,rel_contains_monitoring_form_false_positives_contains_monitoring_form,rel_contains_monitoring_form_false_negatives_contains_monitoring_form,rel_contains_sanctioning_form_precision_contains_sanctioning_form,rel_contains_sanctioning_form_recall_contains_sanctioning_form,rel_contains_sanctioning_form_f1_score_contains_sanctioning_form,rel_contains_sanctioning_form_true_positives_contains_sanctioning_form,rel_contains_sanctioning_form_false_positives_contains_sanctioning_form,rel_contains_sanctioning_form_false_negatives_contains_sanctioning_form,rel_addresses_precision_addresses,rel_addresses_recall_addresses,rel_addresses_f1_score_addresses,rel_addresses_true_positives_addresses,rel_addresses_false_positives_addresses,rel_addresses_false_negatives_addresses,triple_count,file_size,cleaned,fixed_jsonld,file_name,syntax_error_message,file_path
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,ft:gpt-4o-mini-2024-07-18:pd-berater-der-ffentlichen-hand:polianna-turtle:BOPrF1gr,zero-shot,True,0,0.6190476190476191,0.6842105263157895,0.6500000000000001,13,8,6,3,0,0,1.0,1.0,1.0,2,0,1,1.0,0.6666666666666666,0.8,2,0,0,1.0,1.0,1.0,6,1,0,0.8571428571428571,1.0,0.923076923076923,0,0,0,0.0,0.0,0.0,0,7,5,0.0,0.0,0.0,0.9166666666666666,0.8461538461538461,0.8799999999999999,11,1,2,12,0.5789473684210527,0.6111111111111112,0.5945945945945946,11,8,7,0.2222222222222222,0.2857142857142857,0.25,2,7,5,1.0,0,{},True,33,1.0,0.6666666666666666,0.8,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,33,2188,False,False,32012L0027_ft:gpt-4o-mini-2024-07-18:pd-berater-der-ffentlichen-hand:polianna-turtle:BOPrF1gr_zero-shot_20250420_232452.ttl,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,ft:gpt-4o-mini-2024-07-18:pd-berater-der-ffentlichen-hand:polianna-turtle:BOPrF1gr,few-shot,True,0,0.5238095238095238,0.5238095238095238,0.5238095238095238,11,10,10,3,0,0,1.0,1.0,1.0,2,0,1,1.0,0.6666666666666666,0.8,2,0,0,1.0,1.0,1.0,4,3,2,0.5714285714285714,0.6666666666666666,0.6153846153846153,0,0,0,0.0,0.0,0.0,0,7,7,0.0,0.0,0.0,0.9166666666666666,0.8461538461538461,0.8799999999999999,11,1,2,12,0.47368421052631576,0.5,0.4864864864864865,9,10,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,2,7,7,1.0,0,{},True,42,1.0,0.6666666666666666,0.8,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,42,2763,False,False,32012L0027_ft:gpt-4o-mini-2024-07-18:pd-berater-der-ffentlichen-hand:polianna-turtle:BOPrF1gr_few-shot_20250420_232511.ttl,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,ft:gpt-4o-mini-2024-07-18:pd-berater-der-ffentlichen-hand:polianna-turtle:BOPrF1gr,one-shot,True,0,0.5238095238095238,0.5789473684210527,0.5500000000000002,11,10,8,3,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0,4,3,1,0.5714285714285714,0.8,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,7,7,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,12,0.47368421052631576,0.5294117647058824,0.5,9,10,8,0.2222222222222222,0.2222222222222222,0.2222222222222222,2,7,7,1.0,0,{},True,40,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,40,2668,False,False,32012L0027_ft:gpt-4o-mini-2024-07-18:pd-berater-der-ffentlichen-hand:polianna-turtle:BOPrF1gr_one-shot_20250420_232502.ttl,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,gpt-4o-2024-08-06,zero-shot,True,0,0.47619047619047616,0.30303030303030304,0.37037037037037035,10,11,23,1,2,0,0.3333333333333333,1.0,0.5,1,1,0,0.5,1.0,0.6666666666666666,2,0,1,1.0,0.6666666666666666,0.8,6,1,15,0.8571428571428571,0.2857142857142857,0.42857142857142855,0,0,7,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.9166666666666666,0.6111111111111112,0.7333333333333334,11,1,7,12,0.5263157894736842,0.38461538461538464,0.4444444444444444,10,9,16,0.1111111111111111,1.0,0.19999999999999998,1,8,0,1.0,0,{},True,36,0.5,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,36,2602,False,False,32012L0027_gpt-4o-2024-08-06_zero-shot_20250409_111612.ttl,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,gpt-4o-2024-08-06,few-shot,True,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,12,9,9,3,0,0,1.0,1.0,1.0,1,1,1,0.5,0.5,0.5,2,0,0,1.0,1.0,1.0,4,3,1,0.5714285714285714,0.8,0.6666666666666666,0,0,0,0.0,0.0,0.0,2,5,7,0.2857142857142857,0.2222222222222222,0.25,0.9166666666666666,0.8461538461538461,0.8799999999999999,11,1,2,12,0.631578947368421,0.5714285714285714,0.6,12,7,9,0.5555555555555556,0.45454545454545453,0.5,5,4,6,1.0,0,{},True,42,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,42,2977,False,False,32012L0027_gpt-4o-2024-08-06_few-shot_20250409_111638.ttl,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,gpt-4o-2024-08-06,one-shot,True,0,0.5714285714285714,0.631578947368421,0.6,12,9,7,3,0,0,1.0,1.0,1.0,1,1,1,0.5,0.5,0.5,2,0,0,1.0,1.0,1.0,4,3,3,0.5714285714285714,0.5714285714285714,0.5714285714285714,0,0,0,0.0,0.0,0.0,2,5,3,0.2857142857142857,0.4,0.3333333333333333,0.9166666666666666,0.8461538461538461,0.8799999999999999,11,1,2,12,0.6842105263157895,0.6842105263157895,0.6842105263157895,13,6,6,0.4444444444444444,0.5714285714285714,0.5,4,5,3,1.0,0,{},True,31,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,31,2080,False,False,32012L0027_gpt-4o-2024-08-06_one-shot_20250409_111621.ttl,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,llama3.1:70b,zero-shot,True,0,0.0,0.0,0.0,0,21,28,0,3,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0,0,28,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.08333333333333333,0.2,0.11764705882352941,1,11,4,12,0.0,0.0,0.0,0,19,3,0.0,0.0,0.0,0,9,7,1.0,0,{},True,28,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28,4100,False,False,32012L0027_llama3.1:70b_zero-shot_20250410_001611.ttl,File not generated or found,
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,llama3.1:70b,few-shot,False,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2868,False,False,32012L0027_llama3.1:70b_few-shot_20250410_001838.ttl,"at line 1 of <>:
Bad syntax (expected directive or statement) at ^ in:
""b''^b'turtle\n@prefix pol: <http://purl.org/olia/polcore#> .\n@prefi'...""",experiment-1/results/EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14/32012L0027_llama3.1:70b_few-shot_20250410_001838.ttl
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,llama3.1:70b,one-shot,False,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2765,False,False,32012L0027_llama3.1:70b_one-shot_20250410_001727.ttl,"at line 1 of <>:
Bad syntax (expected directive or statement) at ^ in:
""b''^b'turtle\n@prefix owl: <http://www.w3.org/2002/07/owl#> .\n@pref'...""",experiment-1/results/EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14/32012L0027_llama3.1:70b_one-shot_20250410_001727.ttl
EU_32012L0027_Title_0_Chapter_3_Section_0_Article_14,qwen2.5:32b,zero-shot,True,0,0.0,0.0,0.0,0,21,35,0,3,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0,0,35,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.08333333333333333,0.1,0.0909090909090909,1,11,9,12,0.0,0.0,0.0,0,19,9,0.0,0.0,0.0,0,9,7,1.0,0,{},True,35,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35,3027,False,False,32012L0027_qwen2.5:32b_zero-shot_20250421_020313.ttl,File not generated or found,
